button.quit|Quit
mod.genre.picture.button.toolTip|Click here to select an image file that should be used as your genre image.
mod.genre.picture.hint.1|Note: You can skip this step if you
mod.genre.picture.hint.2|don't want to add you own genre image.
mod.genre.picture.noPictureSelected|<html>You did not enter a custom image.<br>Do you want to reset the image file to default?
mod.genre.picture.noPictureSelected.title|Reset image?
mod.scrollExplanation|<html>(Tip: Hold CTRL and click<br> with your mouse)
mod.genre.enterNameFirst|Please enter a genre name first!
mod.genre.enterDescriptionFirst|Please enter a genre description first!
mod.genre.translation.donNotShowInfoAgain|Don't show this information again
mod.genre.translation.information|<html>Note:<br>The translation that you have entered in the "main"text field<br>will be used as the english translation.<br><br>Continue?
mod.genre.sameSelection.text|<html>Unable to continue: It is not allowed to select the same feature in booth lists.<br>Please deselect the feature from one list.
mod.companyIcon.added|Image has been added.
mod.companyIcon.added.title|Image added.
mod.hardwareFeature.addMod.optionPaneMessage.firstPart|Add this hardware feature?
mod.hardwareFeature.addMod.components.textFieldName.initialValue|ENTER HARDWARE FEATURE NAME
mod.hardwareFeature.addMod.components.checkBoxNeedsInternet.toolTip|Aktiviere diese Box, damit das Feature nur dann benutzt werden kann, wenn die Konsole Internet hat
mod.hardwareFeature.addMod.components.checkBoxOnlyStationary.toolTip|Aktiviere diese Box, damit das Feature nur dann benutzt werden kann, wenn die Konsole nicht Portabel ist
mod.hardwareFeature.addMod.components.textFieldDescription.initialValue|ENTER HARDWARE FEATURE DESCRIPTION
mod.hardware.addMod.optionPaneMessage.firstPart|Add this hardware?
mod.hardware.addMod.components.textFieldName.initialValue|ENTER HARDWARE NAME
mod.hardware.addMod.components.comboBox.type.toolTip|Select what type the hardware should be
mod.hardware.addMod.components.checkBox.exclusiveConsole|Enable console exclusivity
mod.hardware.addMod.components.checkBox.exclusiveConsole.toolTip|<html>Check this box to make the hardware exclusive for a specific hardware type.<br>You can select the allowed console type below
mod.hardware.addMod.components.comboBox.exclusiveConsole.value1|Stationary console
mod.hardware.addMod.components.comboBox.exclusiveConsole.value2|Portable console
mod.hardware.addMod.components.comboBox.exclusiveConsole.toolTip|Select here for which console type this hardware should be exclusive
mod.hardware.addMod.components.label.ratingDescription|<html>Info:<br>The rating of the component cannot be set manually.<br>It is calculated automatically using the tech level and research points, among others.
mod.hardware.addMod.components.button.customIcon|Select custom icon
mod.hardware.addMod.components.button.customIcon.toolTip|<html>Click here to select an image file that should be used as your hardware icon.<br>If no custom icon is set the default icon will be used
mod.hardware.addMod.components.button.customIcon.selected|Custom icon selected
mod.npcIp.addMod.optionPaneMessage.firstPart|Add this npc ip?
mod.npcIp.addMod.components.textFieldName.initialValue|ENTER NPC IP NAME
mod.npcIp.addMod.components.spinner.rating|Game rating in %
mod.npcIp.addMod.components.spinner.rating.toolTip|Indicates which rating all games of this IP should about receive
mod.npcIp.addMod.components.label.releaseYear|Release year
mod.npcIp.addMod.components.button.mainGenre|Main-genre
mod.npcIp.addMod.components.button.mainGenre.initial|Select main-genre
mod.npcIp.addMod.components.button.mainGenre.genreAlreadySelected|<html>This genre has already been selected as sub-genre<br>Please select another genre.
mod.npcIp.addMod.components.button.subGenre|Sub-genre
mod.npcIp.addMod.components.button.subGenre.initial|Select sub-genre
mod.npcIp.addMod.components.button.subGenre.genreAlreadySelected|<html>This genre has already been selected as main-genre<br>Please select another genre.
mod.npcIp.addMod.components.button.mainTheme|Main-theme
mod.npcIp.addMod.components.button.mainTheme.initial|Select main-theme
mod.npcIp.addMod.components.button.mainTheme.themeAlreadySelected|<html>This theme has already been selected as sub-theme<br>Please select another theme.
mod.npcIp.addMod.components.button.subTheme|Sub-theme
mod.npcIp.addMod.components.button.subTheme.initial|Select sub-theme
mod.npcIp.addMod.components.button.subTheme.themeAlreadySelected|<html>This theme has already been selected as main-theme<br>Please select another theme.
mod.npcIp.addMod.components.button.publisher|Publisher
mod.npcIp.addMod.components.button.publisher.initial|Select publisher
mod.npcIp.addMod.somethingNotSelected|<html>At least one of the following fields is empty:<br><br>Main-genre<br>Main-theme<br>Publisher<br><br>Please make sure that you have selected each and try again.

sharer.engineFeature.optionPaneMessage.main|Your engine feature is ready:
sharer.importMod.notCompatible|The following mod has not been imported because it is not compatible with the current mod tool version:
sharer.importMod.alreadyExists|The following mod has not been imported because it already exists:
sharer.importMod.alreadyExists.short|already exists
sharer.importMod.nameTaken|name is already taken
sharer.importMod.couldNotBeImported.firstPart|could not be imported
sharer.importMod.couldNotBeImported.secondPart|is not with the current mod tool version compatible
sharer.importMod.couldNotBeImported.thirdPart|was exported in version:
sharer.exported|Exported:
sharer.notExported|Not exported:

dialog.restorePoint.createRestorePoint|<html>Would you like to create a mod restore point?<br><br>A mod restore point can be used to restore all<br>currently installed mods later when the game has been updated.<br>For that all currently installed mods will be exported into a specific folder.<br>Warning: Developer logos will not be saved!
dialog.restorePoint.createRestorePoint.title|Create restore point?
dialog.restorePoint.restorePointDoesAlreadyExist|<html>A restore point has already been created.<br><br>Would you like to create a new restore point and move the old files into a storage folder?
dialog.restorePoint.restorePointDoesAlreadyExist.title|Restore point already exists
dialog.restorePoint.moveRestorePointFailed|<html>There was a problem moving the old restore point files to the storage folder.<br><br>The restore point has not been created!
dialog.restorePoint.restore.mainDialog|<html>Are you sure that you would like to restore the mods to the latest restore point?<br><br>This will remove all currently installed mods and replace them with the mods that have been set as restore point.<br>When continuing a dialog is shown where you can select what mods should be restored.<br>Note: Company logos will not be restored.
dialog.restorePoint.restore.mainDialog.title|Restore mods

dialog.export.exportSuccessful|<html>All entries have been exported successfully!<br><br>Do you want to open the folder where they have been saved?
dialog.export.restorePointSuccessful|Restore point has been created successfully!

dialog.backup.deleteAllBackups.mainMessage|<html>Are you sure that you would like to delete all backups?<br>This could lead to problems.<br>When all backups have been deleted the program is exited<br>and on the next startup a new initial backup will be created.
dialog.backup.deleteAllBackups.mainMessage.title|Delete backups?
dialog.backup.deleteAllBackups.createNewInitialBackupQuestion|<html>All backups have been deleted.<br>Do you want to create a new initial backup?
dialog.backup.deleteAllBackups.createNewInitialBackupQuestion.title|Backups deleted
dialog.backup.deleteAllBackups.failed|<html>Unable to delete all backups.<br><br>Exception:
dialog.backup.deleteAllBackups.failed.title|Unable to delete backups
dialog.backup.initialBackupCreated|The initial backup has been created successfully.
dialog.backup.initialBackupCreated.title|Initial backup
dialog.backup.initialBackupNotCreated|<html>The initial backup was not created:<br>File not found: Please check if your mgt2 folder is set correctly.<br><br>Exception:
dialog.backup.initialBackupNotCreated.title|Unable to backup file
dialog.backup.createBackup.fullBackupCreated|The full backup has been created successfully.
dialog.backup.createBackup.saveGamesFileBackupCreated|Backup of save games has been created successfully.
dialog.backup.backupCreatedTitle|Backup created
dialog.backup.backupFailedTitle|Backup failed
dialog.backup.unableToCreateBackup|Unable to create backup.
dialog.backup.unableToCreateBackup.fileNotFound|File not found: Please check if your mgt2 folder is set correctly.
dialog.backup.restoreBackup.initialBackup.restored|The initial backup has been restored.
dialog.backup.restoreBackup.latestBackup.restored|The latest backup has been restored.
dialog.backup.restoreBackup.initialBackup.notRestored|<html>The initial backup could not be restored.<br>The initial backup file(s) are missing.
dialog.backup.restoreBackup.latestBackup.notRestored|<html>The latest backup could not be restored.<br>The initial backup file(s) are missing.
dialog.backup.restoreBackup.restored|Backup restored
dialog.backup.restoreBackup.failed|Restoring failed
dialog.backup.restoreBackup.saveGameBackup.label|<html>Select the save game slot where the save game is saved,<br>for which the backup should be restored:<br>0 = Auto save
dialog.backup.restoreBackup.saveGameBackup.title|Restore save game
dialog.backup.restoreBackup.saveGameBackup.confirmMessage.firstPart|Are you sure that you would like to restore the backup for save game?
dialog.backup.restoreBackup.saveGameBackup.confirmMessage.secondPart|<html>This can not be undone!<br>I will not take any responsibility if your save game is getting corrupted!<br><br>Restore save game backup?
dialog.backup.restoreBackup.saveGameBackup.restored|Save game backup has been restored.
dialog.backup.restoreBackup.initialBackup.message|<html>Are you sure that you want to restore the initial backup?<br>All changes that you have applied to the game files will be lost.<br>The savegame backups will not be restored.<br>A backup of the current files will be created.
dialog.backup.restoreBackup.title|Restore backup?
dialog.backup.restoreBackup.initialBackup.notRestored|The initial backup was not restored.
dialog.backup.restoreBackup.latestBackup.message|<html>Are you sure that you want to restore the latest backup?<br>The savegame backups will not be restored.<br>A backup of the current files will be created.
dialog.backup.restoreBackup.latestBackup.notRestored|The latest backup was not restored.
dialog.backup.restoreBackup.initialBackup.notRestored.mods|There was a problem removing the mods:
dialog.backup.createNewInitialBackup.message|<html>Do you want to create a new initial backup?<br><br>This action should always be carried out when the game has been updated.<br>This is because the game update could possibly be lost, when the old backup is restored.<br><br>Warning: Proceeding will remove all currently installed mods to ensure that the new backup files are created without any modifications.<br><br>A restore point can be set beforehand so that you do not lose the currently installed mods.
dialog.backup.createNewInitialBackup.backupSuccessful|A new initial backup has been created successfully!
dialog.backup.createNewInitialBackup.backupError|The following error occurred while the new initial backup was created,<br>the backup was not successful:
dialog.backup.createNewInitialBackup.verifyGameFilesNow|<html>Please go into Steam and verify the game<br>files, to make sure that they are up to date.<br><br>Click on ok when the game files have been verified.
dialog.backup.createNewInitialBackup.verifyGameFilesNow.title|Please verify the game files

dialog.sharingManager.importAll.zipArchiveFound.firstPart|A .zip archive has been found:
dialog.sharingManager.importAll.zipArchiveFound.secondPart|Would you like to extract it and search it for mods?
dialog.sharingManager.importAll.zipArchiveFound.title|Zip archive found
dialog.sharingManager.importAll.zipArchiveFound.error.message.firstPart|Error while extracting zip archive:
dialog.sharingManager.importAll.zipArchiveFound.error.message.secondPart|Would you like to continue anyway?
dialog.sharingManager.importAll.zipArchiveFound.error.title|Error while extracting
dialog.sharingManager.importAll.checkBox.saveOption|<html>If activated, your reply will be adopted<br>for all further messages of this type and the message will be held back.
dialog.sharingManager.importAll.addIfCompatible.alreadyFound.firstPart|This mod has already been found:
dialog.sharingManager.importAll.addIfCompatible.alreadyFound.secondPart|Do you want to add this mod to the import list anyway?
dialog.sharingManager.importAll.addIfCompatible.alreadyFound.title|Import already on the list
dialog.sharingManager.importAll.guiComponents.checkBox.disableImportPopups|Disable popups
dialog.sharingManager.importAll.guiComponents.checkBox.disableAlreadyExistsPopups|Disable already exists popups
dialog.sharingManager.importAll.guiComponents.checkBox.disableAlreadyExistsPopups.toolTip|<html>Check to disable popups that something already exists
dialog.sharingManager.importAll.summary.startText.var1|The following mods can be restored:
dialog.sharingManager.importAll.summary.startText.var2|The following mods can be imported:
dialog.sharingManager.importAll.summary.endText.var1|<html>The numbers indicate how many entries,<br>out of the available entries will be restored.<br><br>Tip:<br>If you wish not to restore everything,<br>click the button(s) to select what entries should be restored.<br><br>Do you want to start the restoration process?
dialog.sharingManager.importAll.summary.endText.var2|<html>The numbers indicate how many entries,<br>out of the available entries will be imported.<br><br>Tip:<br>If you wish not to import everything,<br>click the button(s) to select what entries should be imported.<br><br>Do you want to start the import process?
dialog.sharingManager.importAll.summary.disableImportPopupsText.var1|<html>Check to disable confirm messages that something can be restored
dialog.sharingManager.importAll.summary.disableImportPopupsText.var2|<html>Check to disable confirm messages that something can be imported
dialog.sharingManager.importAll.summary.importErredMessage.var1|<html>Error while restoring:<br>Some features might not be properly restored.<br>See console for further information!
dialog.sharingManager.importAll.summary.importErredMessage.var2|<html>Error while importing:<br>Some features might not be properly imported.<br>See console for further information!
dialog.sharingManager.importAll.summary.importErredMessageTitle.var1|Error while restoring
dialog.sharingManager.importAll.summary.importErredMessageTitle.var2|Error while importing
dialog.sharingManager.importAll.summary.importSuccessfulMessage.var1|<html>Restoration complete:<br>All mods have been restored to the restore point.
dialog.sharingManager.importAll.summary.importSuccessfulMessage.var2|<html>Import complete:<br>All features (that did not already exist) have been imported.
dialog.sharingManager.importAll.summary.importSuccessful|<html>Import complete:<br>All mods have been imported.
dialog.sharingManager.importAll.summary.importSuccessful.title|Import complete
dialog.sharingManager.importAll.summary.restorePointSuccessfullyRestored|<html>Restoration complete:<br>All mods have been restored to the restore point.
dialog.sharingManager.importAll.summary.restorePointSuccessfullyRestored.title|Restoration complete
dialog.sharingManager.importAll.summary.importSuccessfulMessageTitle.var1|Restoration complete
dialog.sharingManager.importAll.summary.importSuccessfulMessageTitle.var2|Import complete
dialog.sharingManager.importAll.importReady.message.title|Import ready
dialog.sharingManager.importAll.error.noImportAvailable.var1|<html>Unable to restore to restore point:<br>The restore point files do not exist.
dialog.sharingManager.importAll.error.noImportAvailable.var2|The folder(s) and it's subfolders do not contain things that could be imported.
dialog.sharingManager.importAll.error.noImportAvailableButIncompatibleModsFound.var1|<html>Unable to restore to restore point:<br>The restore point files do not exist and/or are not compatible with the current mod tool version.
dialog.sharingManager.importAll.error.noImportAvailableButIncompatibleModsFound.var2|<html>The folder(s) and it's subfolders do not contain things that could be imported.<br>Some mods where found that are not compatible with the current mod tool version
dialog.sharingManager.importAll.error.windowTitle.var1|Unable to restore
dialog.sharingManager.importAll.error.windowTitle.var2|Unable to import
dialog.sharingManager.importAll.error.general|<html>A critical error occurred while scanning the folders.<br>The scanning process was canceled!
dialog.sharingManager.importAll.noModsAvailable|None
dialog.sharingManager.importAll.manyImportFilesFound|<html>So many files and directories to search were found<br>that it could take some time to search everything for mods.<br><br>If you click "Yes", all further directories will be searched for mods and this message is not displayed again.<br>If you click "No", the import process will be canceled.<br><br>Are you sure that you have selected the correct folder and do you want to continue the import process?
dialog.sharingManager.importAll.manyImportFilesFound.title|Continue import?
dialog.sharingManager.importAll.errorWhileImportingMod.firstPart|<html>Error while importing mod
dialog.sharingManager.importAll.errorWhileImportingMod.secondPart|Would you like to continue to import the other mods?<br>Warning: This can lead to problems because dependencies could be missing.
dialog.sharingManager.importAll.assetsFoldersMissing|The following assets folders were not found:
dialog.sharingManager.importAll.missingPictures|The following pictures where not found:
dialog.sharingManager.analyzeReturnValue.alreadyExists|already exists
dialog.sharingManager.analyzeReturnValue.supportedVersions|Supported versions:
dialog.sharingManager.importThings.error.firstPart|Unable to import:
dialog.sharingManager.importThings.error.secondPart|The file is corrupted or not compatible with the current Mod Manager Version.
dialog.sharingManager.getImportFolderPath.fileChooser.title.version1|Choose the folder(s) where the files are located that should be imported
dialog.sharingManager.getImportFolderPath.fileChooser.title.version2.firstPart|Choose the folder(s) where the
dialog.sharingManager.getImportFolderPath.fileChooser.title.version2.secondPart|file is located.
dialog.sharingManager.getImportFolderPath.fileChooser.filterDescription|.zip files
dialog.sharingManager.getImportFolderPath.noValidFile.firstPart.var1|The selected folder does not contain a valid
dialog.sharingManager.getImportFolderPath.noValidFile.firstPart.var2|The selected folder does not contain the
dialog.sharingManager.getImportFolderPath.noValidFile.secondPart|<html>file.<br>Please select the correct folder.
dialog.sharingManager.exportAll.mainMessage.part1|<html>Are you sure that all mods should be exported?
dialog.sharingManager.exportAll.mainMessage.part2|<br>If single export is on: Previously exported mods will not be exported again.<br>If single export is off: Pictures of mods that have been exported already, will not be exported again.
dialog.sharingManager.exportAll.singleExport|Single export
dialog.sharingManager.exportAll.singleExport.toolTip|<html>If activated: The mods will be exported into individual folders and not in one file and one assets folder.<br>This will result in a longer export time.<br>If you would like to share single mods this option should be activated.
dialog.sharingManager.exportAll.summary.startText|The following mods can be exported:
dialog.sharingManager.exportAll.summary.endText|<html>The numbers indicate how many entries,<br>out of the available entries will be exported.<br><br>Tip:<br>If you wish not to export everything,<br>click the button(s) to select what entries should be exported.<br><br>Do you want to start the export process?
dialog.sharingManager.exportAll.exportReady.message.title|Export ready
dialog.sharingManager.selectImports|Select what should be imported:

dialog.updateChecker.noUpdateAvailable|<html>You are using the newest version.<br>No update available.
dialog.updateChecker.noUpdateAvailable.title|No update available
dialog.updateChecker.keyFeatures|Key features:
dialog.updateChecker.updateAvailable|<html>It is recommended to always use the newest version to keep this tool compatible with MGT2.<br><br>Do you want to open the github repository to download the newest version?
dialog.updateChecker.updateAvailable.title|New version available
dialog.updateChecker.updateAvailable.versionType.ver1|A new release is available:
dialog.updateChecker.updateAvailable.versionType.ver2|A new alpha version is available:
dialog.updateChecker.updateFailed|Update check failed: No internet connection
dialog.updateChecker.latestGameVersionNotCompatible|<html>Warning:<br><br>This tool is not compatible with the current game version!<br>You can choose to use the tool anyway but some things might not work properly.<br><br>I will do my best to make this tool compatible again as quickly as possible.

dialog.dataStreamHelper.newFile.entryOutOfTarget|Entry is outside of the target dir:
dialog.dataStreamHelper.newFile.failedToCreateDirectory|Failed to create directory

dialog.sharingHandler.licence.addLicence|<html>Add this licence:<br>Name:
dialog.sharingHandler.theme.addTheme|Add this theme?
dialog.sharingHandler.theme.addTheme.title|Add theme?
dialog.sharingHandler.type|Type:
dialog.sharingHandler.hasBeenAdded|has been added successfully
dialog.sharingHandler.unableToAddTheme|Unable to add theme

dialog.genreManager.addGenre.bodyButtonExplanation.var1|<html>Click yes to add this genre.<br>Click no cancel this operation.
dialog.genreManager.addGenre.bodyButtonExplanation.var2|<html>Click yes to add this genre.<br>Click no to return to the step by step guide.<br>Click cancel to quit this guide.
dialog.genreManager.addGenre.title|Add this genre?
dialog.genreManager.addGenre.mainBody.genreIsReady|Your genre is ready:
dialog.genreManager.addGenre.pic|Pic: see top left
dialog.genreManager.addGenre.error.var1|<html>Error while processing image files.<br>Do you want to add you new genre anyway?
dialog.genreManager.addGenre.error.var2|The genre was not added:<br>Error while editing Genres.txt<br>Please try again with administrator rights.
dialog.genreManager.addGenre.error.var3|Your genre was not added.
dialog.genreManager.addGenre.genreAdded.title|Genre added successfully!
dialog.genreManager.addGenre.genreAdded.1|<html>Your new genre
dialog.genreManager.addGenre.genreAdded.2|has been added successfully.<br>Do you want to edit the NPC_Games list to include your new genre?<br>Note: this can be undone with the feature [NPC_Games_List].
dialog.genreManager.addGenre.npcGamesList.added|<html>has successfully<br>been added to the NpcGames list.
dialog.genreManager.addGenre.npcGamesList.error.1|Error while adding genre with id
dialog.genreManager.addGenre.npcGamesList.error.2|to NpcGames.txt.<br>Please try again with administrator rights.<br>Exception:

dialog.genreHelper.getGenreScreenshots.message|<html>Click browse or enter enter the image path manually.<br>When the image path is set click okay.<br>This will add the screenshot to a list of screenshots that will be shown in the development progress page.<br>Note: The image file as to be a `.png` file and the aspect ratio should be 4:3
dialog.utils.imageFileAdded|Image file has been added.
dialog.utils.imageFilesAdded|Image files have been added.

dialog.contentEditor.editGenreThemeFit.message.title|Edit genre/theme fit
dialog.contentEditor.editGenreThemeFit.message|<html>Here you can edit the genre/theme fit.<br>Select the themes and genres that are to be combined with each other.<br>The combinations can also be undone by selecting remove instead of add.
dialog.contentEditor.editGenreThemeFit.themeLabel|Select the themes that should be edited:
dialog.contentEditor.editGenreThemeFit.genreLabel|Select the genres that should be added/removed:
dialog.contentEditor.editGenreThemeFit.comboBox.toolTip|<html>Choose what should be done:<br>Add: The selected genre/themes will be made compatible with each other<br>Remove: The selected genre/themes will no longer be compatible with each other
dialog.contentEditor.editGenreThemeFit.confirmMessage|<html>Are you sure that the selected genres/themes<br>should be combined/removed from each other?
dialog.contentEditor.editGenreThemeFit.selectThemeGenre|Please select at least one genre/theme to continue!
dialog.contentEditor.editGenreThemeFit.success|The genre/theme fit has been edited successfully!

dialog.startTasks.initialBackupOutdated|<html>Warning:<br><br>The initial backup is no longer up-to-date.<br>This can result in problems.<br><br>Please create a new one!<br>(Backup -> Create backup -> Create new initial backup)<br><br>This check can be disabled in the settings.toml file.

disclaimer.disclaimerText|<html>Important information:<br><br>- Backups will get created automatically but please created your own safety<br>copy in case something went wrong with the backups that this tool creates.<br>- Please always create a new initial backup every time the game is updated to prevent problems<br>- Your save game files can be found by clicking "Open Save Game Location" located in the utilities menu.<br>- Mods that have been applied may only take effect when you start a new game.<br>- Removing mods later won't necessarily remove them from your save games.<br>- Most spinners are locked to prevent the input of values that might break the game balance.<br>This can be circumvented by enabling the checkbox<br>"Unlock spinners" in the "configure safety features" menu in the settings.<br>- In case you don't know what an input field does hover over it with your mouse.<br><br>If you need additional help visit the Github repository and read the README.md file.<br>The Github repository can be opened by clicking Utilities -> Open Github Page.<br>If you encounter a bug please report it so i can fix it.<br><br>By clicking ok you accept that you have read this information.

errorMessages.gameFilesNotAnalyzed|<html>The game files could not be analyzed.<br>Please check if your mgt2 folder is set correctly.<br>Try launching the tool with administrator rights.
errorMessages.unableToOpenWebPage|Unable to open the web page:
errorMessages.gameFileCorrupted|Error while analysing game files. The file is currupted.
errorMessages.gameFileCorrupted.textArea.firstPart|Fatal error: Error occurred while game files where analyzed. The files are damaged.
errorMessages.gameFileCorrupted.textArea.secondPart|Please try to repair the game files through Steam or reinstall the game.

warnMessage.integrityCheckFailed.textArea.1|Warning: The integrity of the game files is violated.
warnMessage.integrityCheckFailed.textArea.2|If the tool is used anyway, problems may occur.
warnMessage.integrityCheckFailed.textArea.3|Note: If this problem persists and you have already verified the game files, than it is a problem in the original game files and playing and using this tool is probably fine.
warnMessage.integrityCheckFailed.textArea.mod_tool_not_compatible|This is probably caused by the mod tool not being compatible with the latest version of the game.
warnMessage.integrityCheckFailed.textArea.checkGithub|Please view the github issues page to check if I'm already aware of that problem. If no such issue exists please create a new one.

frame.title.error|Error
frame.title.warning|Warning
frame.title.success|Success
frame.title.about|About
frame.title.continueAnyway|Continue anyway?
frame.title.isThisCorrect|Is this correct?
frame.title.addScreenshot|Add a screenshot
frame.title.fileNotFound|File not found
frame.title.unableToContinue|Unable to continue
frame.title.reset|Reset?
frame.title.information|Information
frame.title.import|Import
frame.title.export|Export
frame.title.areYouSure|Are you sure?
frame.title.missingDependency|Missing dependency
frame.title.restorePointReady|Restore point ready

processor.chooseEntries.label.firstPart|Select the
processor.chooseEntries.label.secondPart|(s) that should be
processor.alreadyProcessed.firstPart|The selected
processor.alreadyProcessed.secondPart|has already been
processor.somethingWentWrong.firstPart|Something went wrong while
processor.somethingWentWrong.secondPart|The following
processor.somethingWentWrong.thirdPart|s where not
processor.somethingWentWrong.fourthPart|Do you want to open the folder where it has been saved?
processor.operationComplete.allSelected|All selected
processor.operationComplete.firstPart|s have been
processor.operationComplete.secondPart|Do you want to open the folder where they have been saved?
processor.nothingSelected.firstPart|Please select a
processor.nothingSelected.secondPart|first.
processor.error.unableTo|Unable to
processor.error.noCustom|There is no custom
processor.error.part.1|<html>that could be processed.<br>Please add a
processor.error.part.2|Error while

progressBar.idle|Idle
progressBar.startingExport|Exporting
progressBar.delete|Deleting:
progressBar.scanningDirectories|Scanning directories
progressBar.importingMods|Importing mods
progressBar.publisherHelper.replaceWithRealPublishers.initialize|Replacing publishers
progressBar.downloadZip|Downloading zip
progressBar.checkForUpdates|Checking for updates
progressBar.importAll.indexing|Indexing files
progressBar.unzip.preparing|Preparing to unzip folder
progressBar.unzip.unzipping|Unzipping files
progressBar.timeElapsed|Total time elapsed
progressBar.replacePublisher.removingOriginalPublishers|Removing original publishers
progressBar.npcGamesList.title|Modifying npc games list
progressBar.copyDirectory.title|Copying directory
progressBar.moveOldInitialBackupFiles|Moving old initial backup
progressBar.creatingInitialBackup|Creating initial backup
progressBar.initializingTool|Initializing tool
progressBar.downloadingDefaultContentUpdate|Downloading default content update
progressBar.export.creatingExportMap|Creating export map
progressBar.constructingContent|Constructing contents of type %s
progressBar.constructingImportContent|Constructing contents
progressBar.copyingImages|Copying images
progressBar.removingImages|Removing images

textArea.exportComplete|Export complete after %s seconds!
textArea.uninstalling|Uninstalling
textArea.uninstalling.uninstallingAllMods|Uninstalling all mods
textArea.uninstalling.uninstallingAllMods.mod.failed|Error removing content of type
textArea.uninstalling.uninstallingAllMods.success|Game files have been restored to original. Duration: %s seconds!
textArea.uninstalling.uninstallingAllMods.noModsFound|No mods need to be removed: No mods found
textArea.uninstalling.uninstallingAllMods.error|The following exception was caught while mods where being uninstalled, uninstall process will continue anyway:
textArea.deleteModManagerFiles|Deleting all mod manager files
textArea.deletingBackups|Deleting backups
textArea.deletingSettings|Deleting settings
textArea.deletingExports|Deleting exports
textArea.import.importSuccess|Import successful:
textArea.import.imported|Imported:
textArea.import.alreadyExists|The following mod has not been imported because it already exists:
textArea.import.notCompatible|The following mod has not been imported because it is not compatible with the current mod tool version:
textArea.import.notCompatible.2|Genre was exported in version
textArea.import.specialPublisherNotExisting|The following publisher was not imported because the special genre does not exist:
textArea.importAll.start|Starting import process
textArea.importAll.cancel|Import process has been canceled
textArea.importAll.completed|Import process has been completed after %s seconds!
textArea.importAll.scanningDirectories|Scanning directories for compatible mods
textArea.importAll.currentPath|Current path:
textArea.importAll.indexingFolder|Indexing folder:
textArea.importAll.indexingFolder.indexed|Indexed:
textArea.importAll.indexingComplete|Indexing complete: Scanning indexed folders for compatible mods
textArea.importAll.scanningDirectories.complete.firstPart|The selected directories have been scanned.
textArea.importAll.scanningDirectories.complete.secondPart|Time:
textArea.importAll.scanningDirectories.complete.thirdPart|The following things are ready for import:
textArea.importAll.searchingForTomlFiles|Searching folders for .toml files
textArea.importAll.foundTomlFile|Toml file found
textArea.importAll.searchingFolder|Searching folder
textArea.importAll.totalTomlFilesFound|Total .toml files found
textArea.importAll.searchComplete|Search for .toml files complete. Took
textArea.importAll.searchingTomlFilesForMods|Searching toml files for mods
textArea.importAll.analyzeTomlFiles|Analyzing .toml files to determine if they contain mods
textArea.importAll.readingToml|Reading toml file
textArea.importAll.readingFiles|Reading files
textArea.importAll.tomlNotValid|Reading aborted: file does not contain valid toml
textArea.importAll.foundCompatibleFiles|Found files that contain mods
textArea.importAll.singleMods|Single mod files
textArea.importAll.bundledMods|Bundled mod files
textArea.importAll.searchingFilesForMods|Searching files for mods
textArea.importAll.noCompatibleTomlFilesFound|No files were found that contain mods.
textArea.importAll.modCompatible|Found mod
textArea.importAll.modNotCompatible.firstPart|Found incompatible mod
textArea.importAll.modNotCompatible.secondPart|Mod was exported in version
textArea.importAll.modNotCompatible.thirdPart|Required version
textArea.importAll.totalModsFound|Total number of mods found
textArea.importAll.duplicated|Duplicated
textArea.importAll.unique|Unique
textArea.importAll.alreadyAdded|Already added
textArea.importAll.incompatible|Incompatible
textArea.importAll.corrupted|Corrupted
textArea.importAll.modsDuplicated|Mod has already been found, it will not be added to the import list again
textArea.importAll.modAlreadyAdded|Mod is already added to the game, so it will not be added to the import list
textArea.importAll.checkingDependencies|Checking dependencies
textArea.importAll.noUniqueModsFound|No new mods were found, that could be added
textArea.importAll.requiresDependencies|Mod requires dependencies
textArea.importAll.dependencyDoesNotExist.firstPart|Missing dependency
textArea.importAll.dependencyDoesNotExist.secondPart|will be replaced by
textArea.importAll.dependencyCheckComplete|Dependency check complete
textArea.importAll.dependencyCheck.optionPane.part1|Warning dependency not found
textArea.importAll.dependencyCheck.optionPane.part2|Please choose a replacement from the list
textArea.importAll.dependencyCheck.optionPane.part3|If no entry is selected, the replacement will be random.<br>Click cancel to cancel the import process.
textArea.importAll.dependencyCheck.optionPane.checkBox|Don't ask again
textArea.importAll.dependencyCheck.optionPane.checkBox.toolTip|<html>If selected this message will not appear again<br>Instead the missing dependency will always be replaced with a random one
textArea.importAll.modsFound.part1|Search for mods completed, found
textArea.importAll.modsFound.part2|Do you want to add the mods to the game?
textArea.importAll.restorePointReady|Restore point ready<br>Click ok to restore the restore point
textArea.importAll.checkBox.customizeImport|Customize import
textArea.importAll.checkBox.customizeImport.toolTip|Check this box so that when you continue a window is opened in which you can customize which mods should be imported
textArea.importAll.replacingOfMapEntryFailed|WARNING: Import-Map entry could not be replaced with the correct mod id, instead the id will be replaced by a random id. Reason
textArea.importAll.settingNewModIds|Setting new mod ids
textArea.importAll.noTomlFilesFound|Unable to import: No .toml files found
textArea.importAll.assetFoldersMissing|asset folder(s) is/are missing
textArea.importAll.picturesMissing|picture(s) is/are missing
textArea.importAll.checkingAssetsFolder|Checking assets folder(s)
